Dealer ID,GCD Code,Assigned Sales Officer,Assigned Sales Manager,Dealership Name,Original Onboarding Date,Original Approved Credit Limit (in PHP),Original Approved Drawing Limit (in PHP),"Current Approved 
Credit Limit",Current Approved Drawing Power,Total Outstanding Amount,Total Available Credit Limit,Total Available Drawing Power,Lifetime TXN's,No. of open Loans,Netbank,Credit Line Status,Reason for CL Hold Status,Netbank - Approved Credit Limit,Netbank - Approved Drawing Power,Netbank - Outstanding Principal,Netbank - Available Credit Limit,Netbank - Available Drawing Power,Finsso,Credit Line Status,Reason for CL Hold Status,Finsso - Approved Credit Limit,Finsso - Approved Drawing Power,Finsso - Outstanding Principal,Finsso - Available Credit Limit,Finsso - Available Drawing Power,L3M Average Repayment Delay,% Utilization ,% Repayment,% Repayment Efficiency,80% LTV Qualified?,Qualified for Automatic CL Increase,"Date 
of Next 
CL Increase","Amount 
of Next 
CL/DP Increase","Remaining 
CL/DP
after Increase",Total Paid Renewal 1 in the last 90 days,Total Paid Renewal 2 in the last 90 days,Total Maturity Payments Made in the last 90 days,Total Payments made in the last 90 days,Total Repayments due in the last 90 days,First TXN,Last TXN,Pending Remittance w/ Netbank,Outstanding Netbank Booking,Credit Line Status,Reason for Hold / Blacklisting,Date of Blacklisting,Reassessement Date,December 2025 Blacklist,% Repayment (L3M),Effective Risk Pricing,Same Group,Onboarded Month,L6M Average Repayment Delay,Netbank Credit Line ID,Finsso Credit Line ID,Onboarding (Regular / Express),Total Number of CL Increase (Lifetime),Total Number of Automatic CL Increase (Lifetime),Credit Line Expiry Date,Credit Line Expiry Date,"(for Onboarded Masterlist)
Original Credit Line issuance Date","(for Onboarded Masterlist)
Original CLA Signed Date",Available CL w/ Netbank
IF0027,GCD3950,Rhoyland Alagon,Marah Luriely A. Villaruz,KEER GARAGE1 VEHICLE MAINTENANCE SERVICES,45467.45347,800000,500000,800000,500000,704000,96000,-204000,1,3,Yes,Hold,Maturity DPD,800000,500000,704000,96000,-204000,Yes,Open,,800000,500000,0,800000,500000,0,0,0,0,No,No,,800000,,0,0,0,0,1,45471,46100,0,704000,Open,Finsso: Open | Netbank: Expired CL,,,,0,0.0175,,Jun'24,113.6666667,IF0027-NB,IF0027-FFC,Regular Onboarding,,,46315,Soon Expiry,45464.76597,45467.45347,96000
IF0028,GCD2785,Zhesa Resurrecion,Albert Dalupang,RAPHAEL ONLINE SHOP,45468.74931,800000,560000,800000,560000,0,800000,560000,0,0,Yes,Hold,Expired Credit Line,800000,560000,0,800000,560000,No,,,0,0,0,0,0,0,0,0,0,No,No,,800000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0028-NB,,Regular Onboarding,,,45751,Expired Credit Line,45387.54861,45468.74931,800000
IF0029,GCD126,Myrnalyn Bankingkito,Malou Alfonso,PMB CAR EXCHANGE,45470.55694,1680000,1176000,15000000,8000000,11838799.07,3161200.93,-3838799.07,1,28,Yes,Open,Done Re-assessement,10000000,8000000,9643829.07,356170.93,-1643829.07,Yes,Open,Done Re-assessement,15000000,8000000,2194970,12805030,5805030,16.171875,0.1522611338,0,0,No,No,45721,,,0,0,0,0,14,45476,46231,0,9643829.07,Blacklisted,15 DPD,46167,45627.90556,,0,0.0175,PMB Family,Jun'24,65.45723684,IF0029-NB,IF0029-FFC,Regular Onboarding,2,2,46430,,45470.55,45470.55694,356170.93
IF0030,GCD1559,Zhesa Resurrecion,Albert Dalupang,NIX-ASH OTO PWESTO DISPLAY CENTER,45470.64514,3400000,2380000,3400000,2380000,0,3400000,2380000,0,0,Yes,Hold,Expired Credit Line,3400000,2380000,0,3400000,2380000,No,,,0,0,0,0,0,0,0,0,0,No,No,,3400000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jun'24,0,IF0030-NB,,Regular Onboarding,,,45832,Expired Credit Line,45468.64653,45470.64514,3400000
IF0031,GCD3951,Myrnalyn Bankingkito,Malou Alfonso,START N' GO CAR TRADING,45471.72431,800000,560000,10000000,10000000,10281000,-281000,-281000,1,19,Yes,Open,Done Re-assessement,10000000,10000000,6206000,3794000,3794000,Yes,Open,Done Re-assessement,10000000,7000000,4075000,5925000,2925000,0,0,0,0,No,No,46079,,,0,0,0,0,12,45532,46164,0,6206000,Blacklisted,15 DPD,46170,46058,,0,0.0175,PMB Family,Jun'24,99.7,IF0031-NB,IF0031-FFC,Regular Onboarding,3,2,46430,,45470.60486,45471.72431,3794000
IF0032,GCD2593,Rose Batacan,Malou Alfonso,MARCUS CAR ACCESSORIES AND DETAILING,45475.48125,300000,300000,1518750,1518750,5567506,-4048756,-4048756,1,8,Yes,Hold,Maturity DPD,1518750,1518750,5567506,-4048756,-4048756,Yes,Open,,1518750,1518750,0,1518750,1518750,26.01059028,0.5339917695,0,0,No,No,46254,2278125,,0,0,0,0,8,45482,45482,0,5032506,Hold,w/ Due Repayments - >= 5DPD,,,,0,0.0175,,Jul'24,47.70423611,IF0032-NB,IF0032-FFC,Regular Onboarding,4,4,46526,,45471.4125,45475.48125,-4048756
IF0033,GCD2821,Rhoyland Alagon,Marah Luriely A. Villaruz,AUTO PLANET TRADING PHILS INC.,45476.5,800000,560000,4275000,4275000,621000,3654000,3654000,1,1,Yes,Hold,Multiple DPD / HIstory of Repossession,4275000,4275000,0,4275000,4275000,Yes,Hold,Multiple DPD / HIstory of Repossession,4275000,4275000,621000,3654000,3654000,0,0,0,0,No,No,45926,6412500,,0,0,0,0,0,45482,45919,0,0,Blacklisted,Manual,46006,,,0,0.0175,,Jul'24,0,IF0033-NB,IF0033-FFC,Regular Onboarding,3,4,46274,Soon Expiry,45476.42292,45476.5,4275000
IF0034,GCD4,Zhesa Resurrecion,Albert Dalupang,JSL CARS VEHICLE TRADING,45477.4625,1200000,840000,1800000,1800000,0,1800000,1800000,1,0,Yes,Hold,Expired Credit Line,1800000,1800000,0,1800000,1800000,No,,,0,0,0,0,0,0,0,0,0,No,No,45788,2700000,,0,0,0,0,0,45541,45716,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jul'24,0,IF0034-NB,,Regular Onboarding,1,1,46063,Expired Credit Line,45477.41389,45477.4625,1800000
IF0035,GCD3095,Zhesa Resurrecion,Albert Dalupang,CARZON3 AUTO TRADING,45477.59028,600000,600000,3037500,3037500,1289000,1748500,1748500,1,4,Yes,Hold,Maturity DPD,3037500,3037500,1117000,1920500,1920500,Yes,Hold,Renewal 1 DPD,3037500,3037500,172000,2865500,2865500,26,0.0566255144,0,0,No,No,46354,4556250,,0,0,0,0,2,45485,45485,0,1117000,Open,,,,,0,0.0175,,Jul'24,26,IF0035-NB,IF0035-FFC,Regular Onboarding,4,4,46626,,45477.50556,45477.59028,1920500
IF0036,GCD326,Marlon Llamas,Albert Dalupang,KCY CAR TRADING,45477.82708,750000,500000,750000,500000,0,750000,500000,0,0,Yes,Hold,Expired Credit Line,750000,500000,0,750000,500000,No,,,0,0,0,0,0,0,0,0,0,No,No,,750000,,0,0,0,0,0,,,0,0,Hold,Finsso: Pending CL | Netbank: Expired CL,,,,0,0.0175,,Jul'24,0,IF0036-NB,,Regular Onboarding,,,45835,Expired Credit Line,45471.74722,45477.82708,750000
