,Dealer ID,Dealer Name,Assigned SM,Assigned SM,#DB Cancelled,#DB Closed,#DB Open,#DB Overdue,AUM,Total Outstanding Principal,Open Principal,Overdue Principal,Avg Loan Age,Avg Repayment Tenure,Avg DPD Age,Earliest Overdue Date,Status,Reason,Date of Blacklisting,Date of Hold,Mulitple Failure Date,# Of Inspections,# Inspections Passed,# Inspections Failed,Concentration,Max Open DPD,Min Open DPD,Latest Insection Date,Open Total Inspections,Open Passed Inspections,Open Failed Inspections,Open Confirmed Sold Units,Multiple Failures,Blacklisted Date,Remarks,Reassessed,Blacklist Stamp
,IF0030,NIX-ASH OTO PWESTO DISPLAY CENTER,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45832,,0,0,0,0,0,0,,0,0,0,0,No
,IF0031,START N' GO CAR TRADING,Malou Alfonso,Myrnalyn Bankingkito,0,53,0,13,6602240,6602240,0,6602240,97,,39.27906977,46170,Blacklisted,15 DPD,46170,,,119,76,43,0.02273792263,104,78,46262,39,17,22,4,Yes,,,46058,46190.65122
,IF0032,MARCUS CAR ACCESSORIES AND DETAILING,Malou Alfonso,Rose Batacan,0,20,2,0,1041700,1041700,1041700,0,45.22727273,,6,,Open,,,,,16,11,5,0.003587584518,0,0,46274,2,1,1,0,No
,IF0033,AUTO PLANET TRADING PHILS INC.,Marah Luriely A. Villaruz,Rhoyland Alagon,0,56,0,0,0,0,0,0,61.48214286,,29,,Blacklisted,Manual,46006,,,109,53,56,0,0,0,,0,0,0,0,No,46006,Emailed Endorsement,,46190.65122
,IF0034,JSL CARS VEHICLE TRADING,Albert Dalupang,Zhesa Resurrecion,0,3,0,0,0,0,0,0,14,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46063,,0,0,0,0,0,0,,0,0,0,0,No
,IF0035,CARZON3 AUTO TRADING,Albert Dalupang,Zhesa Resurrecion,0,35,2,0,539320,539320,539320,0,41.54054054,,4.5,,Open,,,,,30,21,9,0.001857402402,0,0,46239,3,1,2,0,No
,IF0036,KCY CAR TRADING,Albert Dalupang,Marlon Llamas,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45835,,0,0,0,0,0,0,,0,0,0,0,No
,IF0037,RT MANIAGO AUTO CENTER CORPORATION,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45842,,0,0,0,0,0,0,,0,0,0,0,No
,IF0038,RNS AUTO TRADING,Albert Dalupang,Zhesa Resurrecion,0,20,0,0,0,0,0,0,49.7,,24.2,,Open,Finsso: Open | Netbank: Expired CL,,46155,,27,21,6,0,0,0,,0,0,0,0,No
,IF0039,BKG CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,34,1,0,282600,282600,282600,0,41.28571429,,7,,Open,Finsso: Open | Netbank: Expired CL,,46224,,24,15,9,0.0009732661849,0,0,46246,1,0,1,1,No,,,45614.66806
,IF0040,FASTWHEELS CAR AGENT SERVICES,Marah Luriely A. Villaruz,Rhoyland Alagon,0,18,0,0,0,0,0,0,25.22222222,,,,Hold,Expired CL,,46157,,7,6,1,0,0,0,,0,0,0,0,No
,IF0041,NEO'S AUTO TRADING,Albert Dalupang,Marlon Llamas,0,13,0,1,343000,343000,0,343000,107.1428571,,62.2,46009,Blacklisted,15 DPD,46009,,,38,24,14,0.001181282029,265,265,46027,4,0,4,0,Yes,46006,Emailed Endorsement,,46190.65122
,IF0042,RSALVADOR CAR TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,10,1,0,700000,700000,700000,0,25.90909091,,,,Open,,,,,2,2,0,0.002410779651,0,0,,0,0,0,0,No
,IF0043,ANDRAVEN CARS AUTO TRADING,Marah Luriely A. Villaruz,Rhoyland Alagon,0,3,0,0,0,0,0,0,22,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,46065,,1,1,0,0,0,0,,0,0,0,0,No
,IF0044,LAROZA CAR TRADING,Albert Dalupang,Zhesa Resurrecion,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45838,,0,0,0,0,0,0,,0,0,0,0,No
,IF0045,AUTO BOUTIQ AUTO TRADING,Marah Luriely A. Villaruz,Elvira Ladea,1,166,20,1,9417200,10049200,9239200,810000,56.41397849,,8.103708965,46263.77431,Blacklisted,Locked by Timestamp,46263.04194,,,194,104,90,0.03243256304,10.22569444,10.04236111,46241,14,10,4,6,No,,,,46263.04194
,IF0046,PAPSTOGO MALABON AUTO CARE CENTER,Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45877,,0,0,0,0,0,0,,0,0,0,0,No
,IF0047,KCL'S AUTO TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,66,0,0,0,0,0,0,35.53030303,,4.9,,Open,Finsso: Open | Netbank: Expired CL,,45987,,50,2,48,0,0,0,,0,0,0,0,No
,IF0048,TAURUS CAR EXCHANGE,,,0,3,0,0,0,0,0,0,28.33333333,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45881,,0,0,0,0,0,0,,0,0,0,0,No
,IF0049,DM CARS NON-SPECIALIZED WHOLESALE TRADING(Former as DM QUALITY USED CARS),Marah Luriely A. Villaruz,Rhoyland Alagon,0,0,0,0,0,0,0,0,,,,,Hold,Finsso: Pending CL | Netbank: Expired CL,,45870,,0,0,0,0,0,0,,0,0,0,0,No
,IF0050,UGEAGI CAR TRADING,Marah Luriely A. Villaruz,Elvira Ladea,0,39,4,0,1368204,1368204,1368204,0,48.8372093,,5,,Open,,,,,54,38,16,0.004712054803,0,0,46267,8,6,2,2,No
,IF0051,HATCHBACK-MONSTER CAR DISPLAY CENTER,Marah Luriely A. Villaruz,Rhoyland Alagon,2,164,8,0,7070380,7070380,7070380,0,47.44767442,,6,,Open,,,,,98,85,13,0.02435018319,0,0,46274,15,10,5,7,No
,IF0052,AUTO-NEXUS CAR TRADING,Albert Dalupang,Marlon Llamas,0,48,4,0,12061000,12061000,12061000,0,56.15384615,,1,,Hold,Multiple Failure Audits,,,,81,59,22,0.04153773339,0,0,46269,16,7,9,0,Yes
